sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,C,1,-4.0,baseline,22,0,1,22,2499,2499,0,102.44939289987087,102.44939289987087,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[114, 91, 38, 107, 9, 17, 73, 81, 71, 52]",[],0,0,0,0,0,0,0,0
0,C,1,-4.0,nsgrand,22,0,1,22,0,0,0,1116.5627459995449,1116.5627459995449,0.0,0,0,-1,5,2.6155250452575274e-05,0.9999369382858276,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,C,1,-4.0,strong_symbolic,22,0,1,22,3999,3999,0,187.4595528934151,187.4595528934151,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[114, 91, 38, 107, 9, 17, 73, 81, 71, 52]",[],0,0,0,0,0,0,0,0
1,C,1,-4.0,baseline,21,0,1,21,2499,2499,0,51.256910897791386,51.256910897791386,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[107, 74, 14, 75, 97, 71, 39, 98, 22, 42]",[],0,0,0,0,0,0,0,0
1,C,1,-4.0,nsgrand,21,0,1,21,0,0,0,1.4189991634339094,1.4189991634339094,0.0,0,0,-1,5,3.043066681129858e-05,0.9999431371688843,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
1,C,1,-4.0,strong_symbolic,21,0,1,21,3999,3999,0,162.6588311046362,162.6588311046362,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[107, 74, 14, 75, 97, 71, 39, 98, 22, 42]",[],0,0,0,0,0,0,0,0
2,C,1,-4.0,baseline,30,0,1,30,2499,2499,0,49.35138812288642,49.35138812288642,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[0, 83, 114, 107, 27, 12, 103, 123, 78, 124]",[],0,0,0,0,0,0,0,0
2,C,1,-4.0,nsgrand,30,0,1,30,0,0,0,1.0008120443671942,1.0008120443671942,0.0,0,0,-1,5,2.223839874204714e-05,0.9999539852142334,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
2,C,1,-4.0,strong_symbolic,30,0,1,30,3999,3999,0,161.78813693113625,161.78813693113625,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[0, 83, 114, 107, 27, 12, 103, 123, 78, 124]",[],0,0,0,0,0,0,0,0
3,C,1,-4.0,baseline,30,0,1,30,2499,2499,0,49.65503513813019,49.65503513813019,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[72, 115, 91, 37, 71, 65, 31, 81, 18, 68]",[],0,0,0,0,0,0,0,0
