strong_symbolic_sample_id,strong_symbolic_profile,strong_symbolic_profile_id,strong_symbolic_snr_db,strong_symbolic_decoder,strong_symbolic_true_error_weight,strong_symbolic_decoder_success,strong_symbolic_block_error,strong_symbolic_bit_errors,strong_symbolic_queries,strong_symbolic_primary_queries,strong_symbolic_fallback_queries,strong_symbolic_elapsed_ms,strong_symbolic_primary_elapsed_ms,strong_symbolic_fallback_elapsed_ms,strong_symbolic_fallback_used,strong_symbolic_candidate_pool_size,strong_symbolic_oracle_pool_hit,strong_symbolic_predicted_weight_top,strong_symbolic_confidence_prob,strong_symbolic_predicted_overflow_prob,strong_symbolic_stage,strong_symbolic_gate_reason,strong_symbolic_search_mode,strong_symbolic_policy_action,strong_symbolic_allowed_weights_json,strong_symbolic_top_segment_ids_json,strong_symbolic_pool_positions_top10_json,strong_symbolic_predicted_weight_distribution_json,strong_symbolic_primary_budget,strong_symbolic_primary_max_weight,strong_symbolic_fallback_budget,strong_symbolic_fallback_pool_size,strong_symbolic_fallback_max_weight,strong_symbolic_ai_success,strong_symbolic_fallback_success,strong_symbolic_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,strong_symbolic_better_block_error
0,A,0,2.0,strong_symbolic,19,0,1,19,3999,3999,0,209.20432591810822,209.20432591810822,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[121, 37, 112, 116, 8, 4, 126, 111, 127, 125]",[],0,0,0,0,0,0,0,0,0,A,0,2.0,nsgrand,19,0,1,19,0,0,0,1138.4892200585455,1138.4892200585455,0.0,0,0,-1,5,0.0012115960707888007,0.9998075366020203,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,0,A,2.0,19,strong_symbolic,nsgrand,-3999,929.2848941404372,0,0,0
1,A,0,2.0,strong_symbolic,2,1,0,0,14,14,0,155.45336110517383,155.45336110517383,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[65, 62, 111, 68, 76, 96, 63, 127, 105, 125]",[],0,0,0,0,0,0,0,0,1,A,0,2.0,nsgrand,2,1,0,0,1,1,0,4.362956155091524,0.025040004402399063,0.0,0,18,1,2,0.8432390689849854,0.0005338406190276146,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[65, 76, 63, 62, 68, 111, 105, 96, 127, 125]","[1.368027187709231e-05, 0.0018804079154506326, 0.9526541829109192, 0.0434548445045948, 0.0014630965888500214, 0.0005338406190276146]",1200,4,0,0,0,1,0,0,1,A,2.0,2,strong_symbolic,nsgrand,-13,-151.0904049500823,0,0,0
2,A,0,2.0,strong_symbolic,16,0,1,16,3999,3999,0,183.6734979879111,183.6734979879111,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[112, 97, 1, 27, 2, 99, 118, 32, 94, 104]",[],0,0,0,0,0,0,0,0,2,A,0,2.0,nsgrand,16,0,1,16,0,0,0,1.9338848069310188,1.9338848069310188,0.0,0,0,-1,5,0.0015348581364378333,0.9997809529304504,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,2,A,2.0,16,strong_symbolic,nsgrand,-3999,-181.7396131809801,0,0,0
3,A,0,2.0,strong_symbolic,11,0,1,11,3999,3999,0,189.8289390373975,189.8289390373975,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[6, 123, 14, 25, 26, 41, 121, 16, 115, 11]",[],0,0,0,0,0,0,0,0,3,A,0,2.0,nsgrand,11,0,1,11,0,0,0,1.7104661092162132,1.7104661092162132,0.0,0,0,-1,5,0.005034369882196188,0.9989752769470215,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,3,A,2.0,11,strong_symbolic,nsgrand,-3999,-188.1184729281813,0,0,0
4,A,0,2.0,strong_symbolic,12,0,1,12,3999,3999,0,184.47489198297262,184.47489198297262,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[91, 77, 81, 8, 92, 97, 86, 94, 84, 93]",[],0,0,0,0,0,0,0,0,4,A,0,2.0,nsgrand,12,0,1,12,0,0,0,1.9097549375146627,1.9097549375146627,0.0,0,0,-1,5,0.004421204328536987,0.9993709921836853,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,4,A,2.0,12,strong_symbolic,nsgrand,-3999,-182.56513704545796,0,0,0
5,A,0,2.0,strong_symbolic,9,0,1,9,3999,3999,0,185.08586706593633,185.08586706593633,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[25, 39, 4, 73, 30, 53, 6, 49, 127, 21]",[],0,0,0,0,0,0,0,0,5,A,0,2.0,nsgrand,9,0,1,9,0,0,0,1.7744959332048893,1.7744959332048893,0.0,0,0,-1,5,0.007030075881630182,0.997505247592926,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,5,A,2.0,9,strong_symbolic,nsgrand,-3999,-183.31137113273144,0,0,0
6,A,0,2.0,strong_symbolic,3,0,1,3,3999,3999,0,182.6311859767884,182.6311859767884,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[109, 87, 81, 63, 23, 94, 110, 78, 91, 76]",[],0,0,0,0,0,0,0,0,6,A,0,2.0,nsgrand,3,1,0,0,45,45,0,5.032510031014681,0.4376659635454416,0.0,0,18,1,2,0.16736561059951782,0.04739763215184212,ai,ai_success,standard,ai_search,"[2, 3]","[0, 1, 2]","[29, 71, 109, 115, 81, 87, 110, 91, 94, 78]","[3.104275310761295e-05, 0.013645265251398087, 0.8120867609977722, 0.1065501868724823, 0.020289098843932152, 0.04739763215184212]",1200,4,0,0,0,1,0,0,6,A,2.0,3,strong_symbolic,nsgrand,-3954,-177.59867594577372,-1,1,0
7,A,0,2.0,strong_symbolic,12,0,1,12,3999,3999,0,189.1357849817723,189.1357849817723,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[36, 14, 28, 31, 119, 16, 57, 39, 20, 0]",[],0,0,0,0,0,0,0,0,7,A,0,2.0,nsgrand,12,0,1,12,0,0,0,1.6632168553769588,1.6632168553769588,0.0,0,0,-1,5,0.003294455586001277,0.9988710284233093,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,7,A,2.0,12,strong_symbolic,nsgrand,-3999,-187.47256812639534,0,0,0
8,A,0,2.0,strong_symbolic,18,0,1,18,3999,3999,0,186.90066202543676,186.90066202543676,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[108, 64, 23, 88, 127, 83, 114, 110, 112, 87]",[],0,0,0,0,0,0,0,0,8,A,0,2.0,nsgrand,18,0,1,18,0,0,0,1.582068158313632,1.582068158313632,0.0,0,0,-1,5,0.001068266574293375,0.9997997879981995,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,8,A,2.0,18,strong_symbolic,nsgrand,-3999,-185.31859386712313,0,0,0
9,A,0,2.0,strong_symbolic,12,0,1,12,3999,3999,0,189.69912989996374,189.69912989996374,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[26, 84, 119, 89, 85, 94, 106, 72, 87, 77]",[],0,0,0,0,0,0,0,0,9,A,0,2.0,nsgrand,12,0,1,12,0,0,0,1.549087930470705,1.549087930470705,0.0,0,0,-1,5,0.0034652440808713436,0.9993991851806641,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,9,A,2.0,12,strong_symbolic,nsgrand,-3999,-188.15004196949303,0,0,0
10,A,0,2.0,strong_symbolic,5,0,1,5,3999,3999,0,187.37644888460636,187.37644888460636,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[12, 60, 39, 111, 44, 23, 88, 10, 6, 42]",[],0,0,0,0,0,0,0,0,10,A,0,2.0,nsgrand,5,1,0,0,86,86,0,107.56708984263241,0.8151540532708168,0.0,0,22,1,5,0.264799028635025,0.5509523749351501,ai,ai_success,expanded_overflow,expanded_ai_search,"[4, 5]","[0, 1, 2, 3]","[60, 44, 13, 88, 107, 10, 12, 111, 6, 51]","[7.726814510533586e-05, 5.352235803002259e-06, 4.6968769311206415e-05, 0.019628936424851418, 0.4292890727519989, 0.5509523749351501]",2400,5,0,0,0,1,0,0,10,A,2.0,5,strong_symbolic,nsgrand,-3913,-79.80935904197395,-1,1,0
11,A,0,2.0,strong_symbolic,7,0,1,7,3999,3999,0,187.47206800617278,187.47206800617278,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[95, 13, 79, 101, 97, 7, 37, 102, 108, 10]",[],0,0,0,0,0,0,0,0,11,A,0,2.0,nsgrand,7,0,1,7,0,0,0,1.6655768267810345,1.6655768267810345,0.0,0,0,-1,5,0.02574295550584793,0.9924063086509705,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,11,A,2.0,7,strong_symbolic,nsgrand,-3999,-185.80649117939174,0,0,0
12,A,0,2.0,strong_symbolic,9,0,1,9,3999,3999,0,192.49931792728603,192.49931792728603,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[59, 122, 57, 15, 126, 19, 16, 31, 2, 105]",[],0,0,0,0,0,0,0,0,12,A,0,2.0,nsgrand,9,0,1,9,0,0,0,1.5803070273250341,1.5803070273250341,0.0,0,0,-1,5,0.010410184971988201,0.9981870055198669,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,12,A,2.0,9,strong_symbolic,nsgrand,-3999,-190.919010899961,0,0,0
