sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,A,0,4.0,baseline,7,0,1,7,2499,2499,0,102.49091289006174,102.49091289006174,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[101, 96, 99, 126, 95, 94, 98, 115, 107, 123]",[],0,0,0,0,0,0,0,0
0,A,0,4.0,nsgrand,7,0,1,7,0,0,0,1116.4477979764342,1116.4477979764342,0.0,0,0,-1,5,0.010658527724444866,0.9995245933532715,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,A,0,4.0,strong_symbolic,7,0,1,7,3999,3999,0,203.82682606577873,203.82682606577873,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[101, 96, 99, 126, 95, 94, 98, 115, 107, 123]",[],0,0,0,0,0,0,0,0
1,A,0,4.0,baseline,2,1,0,0,7,7,0,34.35585298575461,34.35585298575461,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[92, 77, 100, 87, 59, 91, 96, 10, 71, 74]",[],0,0,0,0,0,0,0,0
1,A,0,4.0,nsgrand,2,1,0,0,1,1,0,4.044336033985019,0.022728927433490753,0.0,0,18,1,2,0.9727372527122498,2.1477299014804885e-06,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[100, 77, 92, 87, 96, 91, 74, 70, 71, 73]","[1.475992121413583e-06, 0.00018133054254576564, 0.9975441098213196, 0.0022505195811390877, 2.04258303710958e-05, 2.1477299014804885e-06]",1200,4,0,0,0,1,0,0
1,A,0,4.0,strong_symbolic,2,1,0,0,7,7,0,150.3413040190935,150.3413040190935,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[92, 77, 100, 87, 59, 91, 96, 10, 71, 74]",[],0,0,0,0,0,0,0,0
2,A,0,4.0,baseline,1,1,0,0,3,3,0,32.23267989233136,32.23267989233136,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[55, 61, 122, 124, 82, 63, 49, 47, 26, 53]",[],0,0,0,0,0,0,0,0
2,A,0,4.0,nsgrand,1,1,0,0,1,1,0,2.3961500264704227,0.023039989173412323,0.0,0,18,1,1,0.9993842840194702,9.517096259514801e-06,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[122, 124, 82, 77, 88, 73, 52, 83, 0, 26]","[8.517311653122306e-05, 0.9970689415931702, 0.002817075466737151, 8.344160050910432e-06, 1.0911186109296978e-05, 9.517096259514801e-06]",1200,4,0,0,0,1,0,0
2,A,0,4.0,strong_symbolic,1,1,0,0,3,3,0,144.1712249070406,144.1712249070406,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[55, 61, 122, 124, 82, 63, 49, 47, 26, 53]",[],0,0,0,0,0,0,0,0
3,A,0,4.0,baseline,3,1,0,0,491,491,0,35.52292287349701,35.52292287349701,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[4, 63, 44, 65, 49, 126, 59, 80, 51, 16]",[],0,0,0,0,0,0,0,0
