sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,C,1,-4.0,baseline,30,0,1,30,2499,2499,0,96.5771519986447,96.5771519986447,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[90, 43, 82, 87, 10, 96, 102, 105, 119, 65]",[],0,0,0,0,0,0,0,0
0,C,1,-4.0,nsgrand,30,0,1,30,3999,0,3999,643.3573920221534,0.0,220.93387600034475,1,0,-1,5,0.00010186638246523216,0.999880313873291,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
1,C,1,-4.0,baseline,25,0,1,25,2499,2499,0,57.08556398167275,57.08556398167275,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[31, 14, 60, 58, 62, 4, 71, 88, 98, 15]",[],0,0,0,0,0,0,0,0
1,C,1,-4.0,nsgrand,25,0,1,25,3999,0,3999,205.77762302127667,0.0,203.6696359864436,1,0,-1,5,0.0001087290293071419,0.9998887777328491,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
2,C,1,-4.0,baseline,23,0,1,23,2499,2499,0,55.707043007714674,55.707043007714674,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[70, 66, 112, 50, 69, 12, 43, 21, 17, 95]",[],0,0,0,0,0,0,0,0
2,C,1,-4.0,nsgrand,23,0,1,23,3999,0,3999,201.53789001051337,0.0,199.5715319935698,1,0,-1,5,9.98082323349081e-05,0.9998714923858643,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
3,C,1,-4.0,baseline,28,0,1,28,2499,2499,0,55.59548400924541,55.59548400924541,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[103, 100, 127, 6, 41, 58, 65, 121, 90, 125]",[],0,0,0,0,0,0,0,0
3,C,1,-4.0,nsgrand,28,0,1,28,3999,0,3999,202.50442399992608,0.0,200.66728501114994,1,0,-1,5,0.00011046761210309342,0.9998747110366821,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
4,C,1,-4.0,baseline,29,0,1,29,2499,2499,0,56.771467003272846,56.771467003272846,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[8, 76, 83, 7, 18, 101, 118, 50, 88, 74]",[],0,0,0,0,0,0,0,0
4,C,1,-4.0,nsgrand,29,0,1,29,3999,0,3999,201.25457100220956,0.0,199.2982139927335,1,0,-1,5,0.00010461029160069302,0.9998544454574585,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
5,C,1,-4.0,baseline,25,0,1,25,2499,2499,0,56.26477999612689,56.26477999612689,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[69, 98, 20, 7, 103, 40, 90, 25, 97, 37]",[],0,0,0,0,0,0,0,0
5,C,1,-4.0,nsgrand,25,0,1,25,3999,0,3999,200.40543700451963,0.0,198.59203801024705,1,0,-1,5,0.0001263844023924321,0.9998226761817932,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
6,C,1,-4.0,baseline,28,0,1,28,2499,2499,0,56.17761000758037,56.17761000758037,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[104, 19, 57, 94, 93, 41, 125, 123, 22, 25]",[],0,0,0,0,0,0,0,0
6,C,1,-4.0,nsgrand,28,0,1,28,3999,0,3999,204.54750099452212,0.0,202.69415201619267,1,0,-1,5,0.00010532134911045432,0.9998544454574585,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
7,C,1,-4.0,baseline,23,0,1,23,2499,2499,0,59.693447983590886,59.693447983590886,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[104, 78, 112, 91, 10, 90, 73, 66, 127, 86]",[],0,0,0,0,0,0,0,0
7,C,1,-4.0,nsgrand,23,0,1,23,3999,0,3999,209.16777101228945,0.0,207.08679399103858,1,0,-1,5,0.00011709239333868027,0.9998489618301392,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
8,C,1,-4.0,baseline,29,0,1,29,2499,2499,0,58.59107500873506,58.59107500873506,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[125, 93, 105, 111, 112, 99, 62, 90, 100, 46]",[],0,0,0,0,0,0,0,0
8,C,1,-4.0,nsgrand,29,0,1,29,3999,0,3999,199.85677997465245,0.0,197.986001992831,1,0,-1,5,0.00011032413021894172,0.999855637550354,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
