sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,A,0,2.0,baseline,6,0,1,6,2499,2499,0,106.08661099104211,106.08661099104211,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[123, 3, 7, 113, 22, 84, 8, 97, 91, 82]",[],0,0,0,0,0,0,0,0
0,A,0,2.0,nsgrand,6,0,1,6,3999,0,3999,662.6367680146359,0.0,250.05505900480784,1,0,-1,5,0.018206974491477013,0.9978916049003601,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
1,A,0,2.0,baseline,14,0,1,14,2499,2499,0,61.94986298214644,61.94986298214644,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[66, 76, 83, 117, 70, 94, 96, 106, 127, 69]",[],0,0,0,0,0,0,0,0
1,A,0,2.0,nsgrand,14,0,1,14,3999,0,3999,205.64099299372174,0.0,203.91899498645216,1,0,-1,5,0.0013076512841507792,0.9998272061347961,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
2,A,0,2.0,baseline,5,1,1,2,1237,1237,0,47.69045498687774,47.69045498687774,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[16, 17, 28, 26, 29, 85, 34, 103, 63, 3]",[],0,0,0,0,0,0,0,0
2,A,0,2.0,nsgrand,5,1,1,2,12,12,0,14.509856991935521,0.15983899356797338,0.0,0,18,1,3,0.306851863861084,0.0718485414981842,ai,ai_success,standard,"[3, 4]","[0, 1, 2]","[58, 19, 110, 117, 17, 29, 16, 85, 103, 124]","[7.1135007601697e-05, 1.76350113179069e-05, 0.013511397875845432, 0.634758472442627, 0.27979281544685364, 0.0718485414981842]",1200,4,0,0,0,1,0,0
3,A,0,2.0,baseline,4,0,1,4,2499,2499,0,63.4059339936357,63.4059339936357,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[127, 41, 123, 115, 18, 20, 9, 98, 27, 48]",[],0,0,0,0,0,0,0,0
3,A,0,2.0,nsgrand,4,1,0,0,2,2,0,124.18946501566097,0.05067000165581703,0.0,0,22,1,5,0.4457792639732361,0.658425509929657,ai,ai_success,expanded_overflow,"[4, 5]","[0, 1, 2, 3]","[42, 27, 7, 127, 115, 96, 123, 78, 98, 55]","[0.0002666076470632106, 8.815895853331313e-06, 2.27305408770917e-05, 0.006100178696215153, 0.33517614006996155, 0.658425509929657]",2400,5,0,0,0,1,0,0
4,A,0,2.0,baseline,3,1,0,0,202,202,0,39.88547500921413,39.88547500921413,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[76, 33, 4, 31, 36, 0, 17, 109, 105, 115]",[],0,0,0,0,0,0,0,0
4,A,0,2.0,nsgrand,3,1,0,0,1,1,0,12.537159986095503,0.02592999953776598,0.0,0,18,1,3,0.8528028726577759,0.039325129240751266,ai,ai_success,standard,"[3, 4]","[0, 1, 2]","[36, 10, 76, 117, 68, 4, 17, 120, 109, 122]","[0.00047866548993624747, 2.542207221267745e-05, 0.006698967888951302, 0.5964149236679077, 0.3570568859577179, 0.039325129240751266]",1200,4,0,0,0,1,0,0
5,A,0,2.0,baseline,5,0,1,5,2499,2499,0,63.805351994233206,63.805351994233206,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[34, 42, 38, 40, 52, 61, 55, 63, 126, 19]",[],0,0,0,0,0,0,0,0
5,A,0,2.0,nsgrand,5,0,1,5,3999,0,3999,215.86823801044375,0.0,214.27471900824457,1,0,-1,5,0.30298951268196106,0.7666404843330383,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
6,A,0,2.0,baseline,6,0,1,6,2499,2499,0,65.572190011153,65.572190011153,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[79, 80, 96, 64, 68, 98, 95, 123, 102, 82]",[],0,0,0,0,0,0,0,0
6,A,0,2.0,nsgrand,6,0,1,6,3999,0,3999,211.47540598758496,0.0,209.77492700330913,1,0,-1,5,0.023574745282530785,0.9956295490264893,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
7,A,0,2.0,baseline,7,0,1,7,2499,2499,0,64.27553901448846,64.27553901448846,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[117, 39, 110, 125, 60, 16, 119, 73, 5, 95]",[],0,0,0,0,0,0,0,0
7,A,0,2.0,nsgrand,7,0,1,7,3999,0,3999,215.52405998227187,0.0,213.83378098835237,1,0,-1,5,0.1376940906047821,0.9854446053504944,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
8,A,0,2.0,baseline,4,0,1,4,2499,2499,0,67.70975698600523,67.70975698600523,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[101, 57, 31, 0, 82, 85, 20, 42, 37, 76]",[],0,0,0,0,0,0,0,0
8,A,0,2.0,nsgrand,4,0,1,4,3999,0,3999,235.4801619949285,0.0,233.6998439859599,1,0,-1,5,0.33950021862983704,0.769675612449646,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
9,A,0,2.0,baseline,6,0,1,6,2499,2499,0,69.26471699262038,69.26471699262038,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[73, 17, 67, 78, 7, 74, 28, 16, 119, 65]",[],0,0,0,0,0,0,0,0
9,A,0,2.0,nsgrand,6,0,1,6,3999,0,3999,220.59031698154286,0.0,218.56346097774804,1,0,-1,5,0.02217879332602024,0.9882689714431763,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
